,タイトル,製作年度,上映時間,製作国,ジャンル1,ジャンル2,ジャンル3,ジャンル4,平均評価,評価数,5点評価の割合,4点評価の割合,3点評価の割合,2点評価の割合,1点評価の割合,物語,配役,演出,映像,音楽,詳細url 
2865,結婚,2017年,118分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.94,532,22.2,15.6,21.8,15.2,25.2,2.85714,3.47368,2.89285,3.21428,3.01818,https://movies.yahoo.co.jp/movie/360170
2866,きんいろモザイク Pretty Days,2016年,50分,日本,コメディ,アニメ,ジャンル記載なし,ジャンル記載なし,4.02,532,66.0,8.7,5.3,2.1,18.1,4.20689,4.31034,3.82758,3.82758,4.24137,https://movies.yahoo.co.jp/movie/356132
2867,轢き逃げ　最高の最悪な日,2019年,127分,日本,サスペンス,ドラマ,ジャンル記載なし,ジャンル記載なし,3.32,532,15.6,32.9,29.7,11.8,10.0,3.09756,3.40243,3.14634,3.35365,3.2439,https://movies.yahoo.co.jp/movie/366435
2868,ミラクル・ニール！,2015年,85分,イギリス,SF,コメディ,ジャンル記載なし,ジャンル記載なし,3.34,532,14.1,30.6,37.2,11.5,6.6,3.08,3.86,3.28571,3.2,3.12,https://movies.yahoo.co.jp/movie/354185
2869,僕達急行　A列車で行こう,2011年,117分,日本,コメディ,ドラマ,青春,ジャンル記載なし,3.45,531,18.5,31.5,32.4,11.7,6.0,3.37378,4.01442,3.63285,3.75242,3.38647,https://movies.yahoo.co.jp/movie/339115
2870,ボルケーノ,1997年,106分,アメリカ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.49,531,13.8,37.3,36.2,9.6,3.2,3.53409,3.98837,3.72941,4.01176,3.23529,https://movies.yahoo.co.jp/movie/83441
2871,8月の家族たち,2013年,121分,アメリカ,ドラマ,コメディ,ジャンル記載なし,ジャンル記載なし,3.27,531,11.3,29.4,39.2,15.4,4.7,3.44444,4.44444,3.624,3.344,3.264,https://movies.yahoo.co.jp/movie/347843
2872,伊藤くん A to E,2018年,126分,日本,ドラマ,ロマンス,ジャンル記載なし,ジャンル記載なし,2.77,531,13.4,13.9,30.5,20.9,21.3,2.9452,3.88732,2.67605,2.64788,2.95714,https://movies.yahoo.co.jp/movie/361221
2873,お買いもの中毒な私！,2009年,105分,アメリカ,コメディ,ロマンス,ジャンル記載なし,ジャンル記載なし,3.35,530,15.3,32.1,31.5,14.2,7.0,3.28174,3.53784,3.46987,3.63562,3.38056,https://movies.yahoo.co.jp/movie/333118
2874,T-34 レジェンド・オブ・ウォー,2018年,113分,ロシア,アクション,戦争,ジャンル記載なし,ジャンル記載なし,4.27,530,46.0,39.6,11.5,0.9,1.9,3.95535,4.19819,4.33333,4.48214,3.78378,https://movies.yahoo.co.jp/movie/368780
2875,サバービコン　仮面を被った街,2017年,105分,アメリカ,サスペンス,ドラマ,ジャンル記載なし,ジャンル記載なし,3.1,530,10.8,22.6,40.4,17.9,8.3,2.86666,3.74444,2.91111,3.16666,2.86666,https://movies.yahoo.co.jp/movie/363640
2876,ハイスクール・ミュージカル／ザ・ムービー,2008年,112分,アメリカ,ミュージカル,青春,ジャンル記載なし,ジャンル記載なし,4.13,530,48.1,28.1,15.7,4.9,3.2,3.67765,4.46153,4.1476,4.23985,4.54212,https://movies.yahoo.co.jp/movie/332153
2877,誰よりも狙われた男,2013年,122分,"アメリカ,イギリス,ドイツ",サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.53,529,19.1,33.3,33.8,9.6,4.2,3.86021,4.44086,3.96774,3.78494,3.59139,https://movies.yahoo.co.jp/movie/349727
2878,PERFECT BLUE　パーフェクト ブルー,1998年,81分,日本,サスペンス,アニメ,ジャンル記載なし,ジャンル記載なし,3.93,529,34.6,36.1,20.2,5.7,3.4,4.11578,3.87096,4.28723,4.0,3.70212,https://movies.yahoo.co.jp/movie/153473
2879,里見八犬伝,1983年,136分,日本,アドベンチャー,ファンタジー,ジャンル記載なし,ジャンル記載なし,3.72,529,32.1,26.7,27.2,9.5,4.5,3.8421,4.46315,3.80851,3.5851,3.67021,https://movies.yahoo.co.jp/movie/86066
2880,エグゼクティブ・デシジョン,1996年,132分,アメリカ,アクション,サスペンス,ジャンル記載なし,ジャンル記載なし,3.88,529,29.3,38.6,25.1,5.3,1.7,4.13793,4.24137,4.23275,3.85964,3.72807,https://movies.yahoo.co.jp/movie/51439
2881,サスペリア,1977年,99分,イタリア,ホラー,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.62,528,27.1,30.7,25.6,10.2,6.4,3.26428,3.77857,3.97857,4.25714,4.37142,https://movies.yahoo.co.jp/movie/8635
2882,ロッキー5／最後のドラマ,1990年,105分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.27,528,18.2,20.5,37.7,17.2,6.4,3.46534,3.81188,3.46534,3.45544,3.64356,https://movies.yahoo.co.jp/movie/25721
2883,ジョン・カーター,2012年,133分,アメリカ,SF,アドベンチャー,ファンタジー,ジャンル記載なし,3.25,528,12.9,26.7,38.3,16.7,5.5,3.17004,3.09016,3.18292,3.81224,3.17622,https://movies.yahoo.co.jp/movie/341436
2884,人類資金,2013年,140分,日本,サスペンス,アクション,ジャンル記載なし,ジャンル記載なし,2.36,528,9.1,12.9,17.8,25.2,35.0,2.21875,3.02723,2.28235,2.52362,2.72727,https://movies.yahoo.co.jp/movie/345881
2885,ヒックとドラゴン2,2014年,102分,アメリカ,アドベンチャー,ファンタジー,ドラマ,アニメ,3.33,528,25.6,27.3,18.6,11.9,16.7,3.40625,3.85937,3.79687,4.53125,4.01562,https://movies.yahoo.co.jp/movie/352070
2886,COP CAR／コップ・カー,2015年,88分,アメリカ,サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.03,528,9.3,22.5,38.1,22.5,7.6,3.0375,3.48101,3.21518,3.12658,2.79746,https://movies.yahoo.co.jp/movie/355379
2887,007／ゴールデンアイ,1995年,130分,"イギリス,アメリカ",アクション,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.81,528,29.7,30.7,32.8,4.7,2.1,3.75,4.25,4.05555,4.11111,3.88732,https://movies.yahoo.co.jp/movie/27727
2888,赤ひげ,1965年,185分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.45,527,61.3,26.8,8.4,2.5,1.1,4.65322,4.80645,4.68548,4.63414,4.26016,https://movies.yahoo.co.jp/movie/141522
2889,honey,2018年,105分,日本,ロマンス,青春,コメディ,ジャンル記載なし,3.26,527,34.4,15.4,16.9,8.9,24.5,3.42553,3.70833,3.31914,3.6875,3.4468,https://movies.yahoo.co.jp/movie/361802
2890,ウルトラミラクルラブストーリー,2009年,120分,日本,ロマンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.08,527,19.2,20.9,26.0,16.7,17.3,2.90372,4.19003,3.11635,3.36875,3.20062,https://movies.yahoo.co.jp/movie/332832
2891,イントゥ・ザ・ブルー,2005年,111分,アメリカ,アドベンチャー,サスペンス,アクション,ジャンル記載なし,3.29,525,11.4,27.4,43.8,13.0,4.4,3.13548,4.03225,3.38709,4.23225,3.21568,https://movies.yahoo.co.jp/movie/323370
2892,39　刑法第三十九条,1999年,133分,日本,サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.67,525,20.6,40.6,27.8,7.1,4.0,4.14285,4.47422,3.97938,3.61855,3.27083,https://movies.yahoo.co.jp/movie/159518
2893,ホーホケキョ　となりの山田くん,1999年,上映時間記載なし,日本,コメディ,アニメ,ジャンル記載なし,ジャンル記載なし,4.32,525,69.7,8.8,10.5,5.5,5.5,3.17307,3.56862,3.2745,3.70588,3.45098,https://movies.yahoo.co.jp/movie/161722
2894,好きでもないくせに,2016年,85分,日本,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.12,525,21.3,22.7,22.5,13.5,20.0,2.76923,3.30769,2.53846,2.84615,2.76923,https://movies.yahoo.co.jp/movie/357850
2895,デイズ・オブ・サンダー,1990年,108分,アメリカ,アクション,ドラマ,ジャンル記載なし,ジャンル記載なし,3.44,524,17.0,28.8,38.7,12.0,3.4,3.03225,4.03225,3.45161,3.90322,3.54838,https://movies.yahoo.co.jp/movie/15052
2896,青い春,2001年,83分,日本,ドラマ,青春,ジャンル記載なし,ジャンル記載なし,3.79,524,32.6,35.1,18.1,7.3,6.9,3.73949,4.31932,3.85714,3.78151,4.35294,https://movies.yahoo.co.jp/movie/237082
2897,フック,1991年,142分,アメリカ,ファンタジー,コメディ,ジャンル記載なし,ジャンル記載なし,3.51,524,21.0,25.8,39.1,11.6,2.5,4.25757,4.40909,4.10606,4.12121,4.12121,https://movies.yahoo.co.jp/movie/20109
2898,マジカル・ガール,2014年,127分,スペイン,サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.55,524,20.4,36.3,26.9,10.7,5.7,3.61052,3.75789,3.86315,3.53684,3.57894,https://movies.yahoo.co.jp/movie/354728
2899,機動戦士ガンダム THE ORIGIN III　暁の蜂起,2016年,68分,日本,SF,アクション,アニメ,ジャンル記載なし,4.1,524,42.0,37.0,14.1,3.1,3.8,4.29411,4.22058,4.07352,4.25,3.86764,https://movies.yahoo.co.jp/movie/355314
2900,めぐり逢わせのお弁当,2013年,105分,"インド,フランス,ドイツ",ドラマ,コメディ,ジャンル記載なし,ジャンル記載なし,3.81,523,21.8,44.4,28.1,5.0,0.8,3.95789,4.09473,3.86315,3.82105,3.51578,https://movies.yahoo.co.jp/movie/349086
2901,1987、ある闘いの真実,2017年,129分,韓国,ドラマ,サスペンス,ジャンル記載なし,ジャンル記載なし,4.15,523,44.9,35.8,13.0,2.5,3.8,4.34722,4.51388,4.33333,4.30555,3.76388,https://movies.yahoo.co.jp/movie/364121
2902,トライアングル,2009年,99分,"イギリス,オーストラリア",サスペンス,ホラー,ジャンル記載なし,ジャンル記載なし,3.48,523,17.2,39.0,26.0,10.5,7.3,3.7803,3.73282,3.84848,3.5303,3.24218,https://movies.yahoo.co.jp/movie/339772
2903,マリリン　7日間の恋,2011年,100分,"イギリス,アメリカ",ドラマ,ロマンス,ジャンル記載なし,ジャンル記載なし,3.48,523,14.9,36.1,34.8,10.7,3.4,3.59574,4.23571,3.82142,3.87142,3.68345,https://movies.yahoo.co.jp/movie/341417
2904,バースデー・ワンダーランド,2019年,115分,日本,ファンタジー,アドベンチャー,アニメ,ジャンル記載なし,2.77,523,13.4,14.5,27.5,24.7,19.9,2.63114,2.75409,2.9836,3.94308,3.42975,https://movies.yahoo.co.jp/movie/366737
2905,プレデター2,1990年,108分,アメリカ,アクション,SF,ジャンル記載なし,ジャンル記載なし,3.34,522,13.2,31.8,35.3,15.7,4.0,3.50515,3.58762,3.61855,3.65625,3.41052,https://movies.yahoo.co.jp/movie/20697
2906,太陽を盗んだ男,1979年,147分,日本,サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.22,522,50.2,31.0,12.3,3.8,2.7,4.31547,4.60119,4.29761,4.125,3.97619,https://movies.yahoo.co.jp/movie/146864
2907,エンド・オブ・デイズ,1999年,122分,アメリカ,ホラー,アクション,ジャンル記載なし,ジャンル記載なし,2.85,522,6.9,12.5,46.6,27.2,6.9,3.0,3.75806,3.06557,3.19672,2.96721,https://movies.yahoo.co.jp/movie/159308
2908,さざなみ,2015年,95分,イギリス,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.47,522,15.3,35.3,35.1,9.4,5.0,3.44594,4.18918,3.64864,3.62162,3.64864,https://movies.yahoo.co.jp/movie/355325
2909,オーメン,1976年,111分,アメリカ,ホラー,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.88,522,30.1,36.4,26.1,5.9,1.5,4.12727,4.32727,4.26363,4.0909,4.43119,https://movies.yahoo.co.jp/movie/3503
2910,フォーリング・ダウン,1993年,118分,アメリカ,サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.7,521,19.4,41.5,30.7,6.3,2.1,3.89108,4.22772,3.96039,3.61,3.3,https://movies.yahoo.co.jp/movie/19920
2911,映画ドラえもん　のび太と緑の巨人伝,2008年,112分,日本,アドベンチャー,ファミリー,アニメ,ジャンル記載なし,2.27,521,11.1,9.0,16.3,23.0,40.5,2.00588,2.5753,2.20597,2.82789,2.93093,https://movies.yahoo.co.jp/movie/329606
2912,劇場版　仮面ライダーエグゼイド　トゥルー・エンディング,2017年,60分,日本,特撮,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.85,521,43.4,24.2,15.4,8.5,8.6,3.54545,4.23636,3.6909,3.96363,3.70909,https://movies.yahoo.co.jp/movie/360672
2913,バイバイマン,2017年,96分,アメリカ,ホラー,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.2,521,22.8,16.7,30.7,17.1,12.7,3.0,2.93684,2.87234,2.97849,2.68817,https://movies.yahoo.co.jp/movie/360632
2914,ビッグ・リボウスキ,1998年,117分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.73,520,32.1,26.7,27.5,9.0,4.6,3.875,4.59999,4.3125,4.025,3.9625,https://movies.yahoo.co.jp/movie/84320
2915,ラブ★コン,2006年,100分,日本,ロマンス,コメディ,ジャンル記載なし,ジャンル記載なし,3.86,520,45.4,21.9,16.0,6.7,10.0,4.01856,4.07446,3.94906,4.12332,3.98382,https://movies.yahoo.co.jp/movie/324573
2916,花芯,2015年,95分,日本,ドラマ,ロマンス,ジャンル記載なし,ジャンル記載なし,3.03,520,14.8,22.1,29.4,18.9,14.8,2.46666,3.22222,2.8,3.13333,2.82222,https://movies.yahoo.co.jp/movie/356118
2917,劇場版　SHIROBAKO,2020年,119分,日本,青春,ドラマ,アニメ,ジャンル記載なし,3.98,520,41.7,32.3,13.9,6.7,5.4,3.67692,4.26153,3.68461,3.96923,3.8372,https://movies.yahoo.co.jp/movie/364195
2918,華氏119,2018年,128分,アメリカ,ドキュメンタリー,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.57,520,18.9,39.0,27.9,8.9,5.4,3.38541,3.47368,3.5204,3.36734,3.14736,https://movies.yahoo.co.jp/movie/365471
2919,K19,2002年,138分,"アメリカ,イギリス,ドイツ",ドラマ,サスペンス,アクション,ジャンル記載なし,3.64,519,18.5,36.2,38.0,5.4,1.9,3.87804,4.09756,3.82926,3.71951,3.4756,https://movies.yahoo.co.jp/movie/239589
2920,コーチ・カーター,2005年,136分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.13,519,40.7,39.5,14.6,2.7,2.5,4.42647,4.28888,4.15441,4.08148,4.0147,https://movies.yahoo.co.jp/movie/322502
2921,ワイルドシングス,1998年,108分,アメリカ,サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.47,519,13.1,35.5,39.5,9.3,2.7,3.73831,4.03738,3.54205,3.39252,3.25471,https://movies.yahoo.co.jp/movie/84700
2922,偽りなき者,2012年,115分,デンマーク,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.18,519,43.2,38.7,13.5,2.5,2.1,4.27737,4.54744,4.21167,4.17518,3.75555,https://movies.yahoo.co.jp/movie/344272
2923,レジェンド・オブ・メキシコ／デスペラード,2003年,101分,"メキシコ,アメリカ",アクション,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.95,519,7.9,20.0,40.3,22.4,9.4,2.6413,4.0326,3.40217,3.54347,3.6413,https://movies.yahoo.co.jp/movie/319038
2924,アイ・アム・ナンバー4,2011年,110分,アメリカ,アクション,サスペンス,SF,ジャンル記載なし,3.23,519,9.3,30.1,39.5,16.6,4.6,3.03813,3.61603,3.25316,3.57203,3.09442,https://movies.yahoo.co.jp/movie/338679
2925,シャレード,1963年,113分,アメリカ,サスペンス,ロマンス,ジャンル記載なし,ジャンル記載なし,3.99,519,33.3,39.7,21.4,3.9,1.7,4.19819,4.63963,4.23423,4.1081,4.32432,https://movies.yahoo.co.jp/movie/10385
2926,パトリオット・ゲーム,1992年,117分,アメリカ,アクション,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.23,519,7.5,22.7,57.0,11.0,1.7,3.07894,3.76315,3.13157,3.21052,3.0,https://movies.yahoo.co.jp/movie/18236
2927,HERO,2002年,99分,"香港,中国",アクション,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.68,519,24.1,34.9,29.1,8.9,3.1,3.63333,4.25,4.05833,4.55462,3.84033,https://movies.yahoo.co.jp/movie/240359
2928,ダーリンは外国人,2010年,100分,日本,コメディ,ロマンス,ジャンル記載なし,ジャンル記載なし,3.36,519,16.4,30.1,33.9,12.3,7.3,3.36994,3.94508,3.23478,3.42732,3.39067,https://movies.yahoo.co.jp/movie/335709
2929,ヒックとドラゴン　聖地への冒険,2019年,104分,アメリカ,アドベンチャー,アクション,ファンタジー,アニメ,4.12,519,48.0,27.4,16.6,4.4,3.7,4.17346,4.34693,4.36734,4.70408,4.32653,https://movies.yahoo.co.jp/movie/367886
2930,プール,2009年,96分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.92,517,8.5,21.3,34.4,25.3,10.4,2.55156,3.74666,2.83928,3.60986,3.426,https://movies.yahoo.co.jp/movie/333868
2931,リベンジgirl,2017年,110分,日本,ロマンス,コメディ,ジャンル記載なし,ジャンル記載なし,2.54,517,15.1,10.8,21.1,19.3,33.7,2.17333,2.82894,2.26666,2.39473,2.35135,https://movies.yahoo.co.jp/movie/361799
2932,とんかつDJアゲ太郎,2020年,101分,日本,コメディ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.07,516,22.5,19.6,25.4,7.6,25.0,3.0102,3.79591,3.28571,3.45918,4.0,https://movies.yahoo.co.jp/movie/371369
2933,The Beguiled/ビガイルド　欲望のめざめ,2017年,93分,アメリカ,ドラマ,サスペンス,ジャンル記載なし,ジャンル記載なし,2.97,516,9.1,19.6,40.3,20.7,10.3,2.95945,3.75675,3.1081,3.59459,3.04054,https://movies.yahoo.co.jp/movie/362361
2934,ルパン三世,1978年,102分,日本,アクション,アニメ,ジャンル記載なし,ジャンル記載なし,4.16,516,47.9,30.0,15.5,3.7,2.9,4.28915,4.51807,4.33734,4.03614,4.22891,https://movies.yahoo.co.jp/movie/146522
2935,ドローン・オブ・ウォー,2014年,104分,アメリカ,ドラマ,戦争,ジャンル記載なし,ジャンル記載なし,3.47,516,12.8,35.7,39.5,10.3,1.7,3.38028,3.66197,3.56338,3.80281,3.12676,https://movies.yahoo.co.jp/movie/353339
2936,まともじゃないのは君も一緒,2020年,98分,日本,コメディ,ロマンス,ジャンル記載なし,ジャンル記載なし,4.11,515,46.4,32.4,12.0,4.1,5.1,4.25,4.63999,4.32,4.01,3.88,https://movies.yahoo.co.jp/movie/371652
2937,エリザベス,1998年,124分,イギリス,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.22,515,17.1,28.7,27.0,13.6,13.6,4.01315,4.44736,4.0,4.0921,3.69736,https://movies.yahoo.co.jp/movie/85197
2938,ザ・ウォール,2017年,90分,アメリカ,サスペンス,アクション,戦争,ジャンル記載なし,2.86,515,7.4,21.0,35.0,23.5,13.2,2.54838,2.88172,2.96774,2.94623,2.40659,https://movies.yahoo.co.jp/movie/361132
2939,ボックス！,2010年,126分,日本,青春,ドラマ,ジャンル記載なし,ジャンル記載なし,3.81,515,29.9,36.7,21.4,8.2,3.9,3.8372,4.34551,3.77926,3.72818,3.65448,https://movies.yahoo.co.jp/movie/335611
2940,天才作家の妻　-40年目の真実-,2017年,101分,"スウェーデン,アメリカ,イギリス",ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.61,515,14.0,42.3,37.3,3.7,2.7,3.63235,4.30434,3.75,3.58823,3.33823,https://movies.yahoo.co.jp/movie/365483
2941,ハッピーエンドが書けるまで,2012年,97分,アメリカ,ドラマ,コメディ,ロマンス,ジャンル記載なし,3.44,515,15.2,35.2,33.6,10.9,5.2,3.48979,4.0,3.46938,3.4375,3.65957,https://movies.yahoo.co.jp/movie/352666
2942,今そこにある危機,1994年,131分,アメリカ,サスペンス,アクション,ジャンル記載なし,ジャンル記載なし,3.33,515,8.5,31.8,47.0,9.3,3.3,3.72093,4.06818,3.60465,3.51162,3.28571,https://movies.yahoo.co.jp/movie/2040
2943,アメリカン・グラフィティ,1973年,110分,アメリカ,青春,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.78,515,27.4,35.2,28.7,6.0,2.7,3.78409,4.17045,4.14772,4.04597,4.55813,https://movies.yahoo.co.jp/movie/1281
2944,噂のモーガン夫妻,2009年,103分,アメリカ,コメディ,ロマンス,ジャンル記載なし,ジャンル記載なし,3.05,515,7.6,21.9,44.3,20.2,6.0,2.8617,3.56451,3.06521,3.1081,3.02173,https://movies.yahoo.co.jp/movie/335448
2945,シンクロナイズドモンスター,2016年,110分,カナダ,コメディ,ファンタジー,ドラマ,ジャンル記載なし,2.53,515,4.7,16.3,29.3,26.8,22.9,2.24,2.94,2.21,2.61,2.23,https://movies.yahoo.co.jp/movie/361332
2946,バットマン フォーエヴァー,1995年,119分,アメリカ,アクション,SF,ジャンル記載なし,ジャンル記載なし,3.53,514,19.1,28.0,40.9,10.7,1.4,3.38333,4.0,3.38333,3.65,3.42372,https://movies.yahoo.co.jp/movie/18188
2947,デビル,2011年,80分,アメリカ,サスペンス,ホラー,ジャンル記載なし,ジャンル記載なし,3.23,514,8.4,31.9,38.5,16.7,4.5,3.40462,3.42196,3.52325,3.43023,3.09883,https://movies.yahoo.co.jp/movie/339740
2948,モンスター上司,2011年,98分,アメリカ,コメディ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.28,514,9.9,31.7,40.5,12.3,5.6,3.4382,4.0337,3.4382,3.29885,3.18181,https://movies.yahoo.co.jp/movie/340317
2949,チェ　39歳 別れの手紙,2008年,133分,"フランス,スペイン",ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.58,514,19.7,32.5,36.6,8.6,2.7,3.71875,4.23346,3.70312,3.75875,3.38281,https://movies.yahoo.co.jp/movie/331776
2950,シッコ,2007年,123分,アメリカ,ドキュメンタリー,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.07,514,42.0,36.4,13.6,2.9,5.1,4.10335,3.69714,4.08474,3.7784,3.51714,https://movies.yahoo.co.jp/movie/327926
2951,宇宙でいちばんあかるい屋根,2020年,115分,日本,ドラマ,ファンタジー,ジャンル記載なし,ジャンル記載なし,3.83,513,32.4,35.7,20.7,5.3,6.0,3.5125,4.325,3.6375,3.9,3.7,https://movies.yahoo.co.jp/movie/371496
2952,依頼人,1994年,121分,アメリカ,サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.68,513,19.3,40.7,30.6,7.6,1.8,4.07792,4.38961,3.85714,3.75,3.4935,https://movies.yahoo.co.jp/movie/2056
2953,モンスターズ／地球外生命体,2010年,94分,イギリス,SF,サスペンス,ロマンス,ジャンル記載なし,2.7,513,7.2,19.3,28.7,25.9,18.9,2.68382,2.86131,2.88321,2.78102,2.49264,https://movies.yahoo.co.jp/movie/339767
2954,機動戦士ガンダム　逆襲のシャア,1988年,120分,日本,SF,戦争,アニメ,ジャンル記載なし,3.98,513,40.9,30.4,18.1,6.6,3.9,3.608,4.088,3.73387,3.90322,3.91056,https://movies.yahoo.co.jp/movie/150405
2955,ストロベリーショートケイクス,2006年,127分,日本,ドラマ,ロマンス,ジャンル記載なし,ジャンル記載なし,3.31,512,17.6,31.3,24.6,18.0,8.6,3.51322,3.93617,3.39361,3.52941,3.2032,https://movies.yahoo.co.jp/movie/324893
2956,ピラニア3D,2010年,89分,アメリカ,ホラー,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.65,512,24.4,32.2,29.9,10.7,2.7,3.11312,3.93212,3.89592,3.93212,3.47727,https://movies.yahoo.co.jp/movie/339377
2957,ブロウ,2001年,124分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.5,512,20.5,29.7,33.0,12.7,4.1,3.94117,4.39215,3.88118,3.64356,3.58,https://movies.yahoo.co.jp/movie/234858
2958,チャイルド・プレイ,1988年,88分,アメリカ,ホラー,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.7,512,21.9,39.5,28.3,7.4,2.9,3.96551,3.81609,4.01162,3.86046,3.46511,https://movies.yahoo.co.jp/movie/14670
2959,エンド・オブ・ウォッチ,2012年,109分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.62,512,17.8,39.3,32.0,8.8,2.2,3.51685,4.03333,3.76666,3.73333,3.51111,https://movies.yahoo.co.jp/movie/345751
2960,レゴバットマン ザ・ムービー,2017年,105分,アメリカ,コメディ,アドベンチャー,ファミリー,アニメ,3.59,512,34.2,26.6,17.8,7.0,14.5,3.78048,3.6625,3.91358,4.02439,3.66666,https://movies.yahoo.co.jp/movie/358043
2961,花田少年史　幽霊と秘密のトンネル,2006年,123分,日本,ドラマ,ファンタジー,ファミリー,ジャンル記載なし,3.88,512,40.0,26.6,19.9,8.4,5.1,4.13736,4.36813,3.87945,3.66027,3.75977,https://movies.yahoo.co.jp/movie/324408
2962,サウンド・オブ・サンダー,2004年,102分,"アメリカ,ドイツ",SF,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.52,511,6.5,12.7,29.4,29.6,21.9,2.84451,2.66257,2.27914,1.96,2.39751,https://movies.yahoo.co.jp/movie/320561
2963,その土曜日、7時58分,2007年,117分,"アメリカ,イギリス",ドラマ,サスペンス,ジャンル記載なし,ジャンル記載なし,3.71,511,19.6,42.5,29.0,7.1,2.0,3.88268,4.52513,4.0,3.80225,3.66285,https://movies.yahoo.co.jp/movie/331269
2964,ベスト・フレンズ・ウェディング,1997年,104分,アメリカ,コメディ,ロマンス,ジャンル記載なし,ジャンル記載なし,3.5,511,19.6,28.8,37.2,11.0,3.5,3.71304,4.11403,3.75438,3.64035,4.09734,https://movies.yahoo.co.jp/movie/83413
2965,摩天楼（ニューヨーク）はバラ色に,1986年,110分,アメリカ,コメディ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.74,510,21.6,39.4,31.8,6.1,1.2,3.95061,4.34567,3.98765,3.72839,4.03749,https://movies.yahoo.co.jp/movie/17046
2966,名探偵コナン　時計じかけの摩天楼,1997年,95分,日本,アニメ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.05,510,38.4,37.3,17.3,4.7,2.4,4.42857,4.33766,4.23376,3.97402,4.22077,https://movies.yahoo.co.jp/movie/153208
2967,ただ君だけ,2011年,105分,韓国,ロマンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.22,509,49.1,32.4,13.0,2.6,3.0,4.28888,4.74444,4.19318,4.30681,4.09195,https://movies.yahoo.co.jp/movie/342453
2968,ヒットマン,2007年,93分,アメリカ,アクション,サスペンス,ジャンル記載なし,ジャンル記載なし,3.37,509,13.6,31.8,38.1,11.4,5.1,2.95884,3.65983,3.34567,3.58436,3.19583,https://movies.yahoo.co.jp/movie/329462
2969,陰陽師 おんみょうじ,2001年,116分,日本,ホラー,サスペンス,ジャンル記載なし,ジャンル記載なし,3.25,509,11.6,27.7,40.1,14.9,5.7,3.34883,3.89534,3.06976,3.25287,3.40697,https://movies.yahoo.co.jp/movie/234051
2970,トラフィック,2000年,148分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.68,509,26.1,31.8,31.0,6.1,4.9,4.11764,4.41176,4.11764,4.06024,3.6265,https://movies.yahoo.co.jp/movie/163179
