,タイトル,製作年度,上映時間,製作国,ジャンル1,ジャンル2,ジャンル3,ジャンル4,平均評価,評価数,5点評価の割合,4点評価の割合,3点評価の割合,2点評価の割合,1点評価の割合,物語,配役,演出,映像,音楽,詳細url
74,ハドソン川の奇跡,2016年,96分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.15,7242,42.9,37.1,14.5,3.3,2.2,4.28061,4.52933,4.27933,4.2046,3.73333,https://movies.yahoo.co.jp/movie/356041
75,祈りの幕が下りる時,2017年,119分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.22,7094,48.7,33.6,11.7,3.6,2.5,4.25111,4.47995,4.10714,4.02234,3.9743,https://movies.yahoo.co.jp/movie/361110
76,ぼくは明日、昨日のきみとデートする,2016年,110分,日本,ロマンス,ファンタジー,SF,ジャンル記載なし,4.05,7041,52.1,22.7,11.5,5.2,8.5,4.09953,4.31264,4.11709,4.26229,4.19695,https://movies.yahoo.co.jp/movie/357423
77,ジュラシック・ワールド／炎の王国,2018年,128分,アメリカ,アクション,アドベンチャー,SF,ジャンル記載なし,3.61,6825,21.6,35.3,29.7,9.0,4.5,2.81194,3.5682,3.34151,4.16601,3.45329,https://movies.yahoo.co.jp/movie/362712
78,アバター,2009年,162分,アメリカ,SF,アドベンチャー,アクション,ジャンル記載なし,3.82,6775,37.0,28.9,19.2,8.8,6.2,3.30415,3.70245,3.87403,4.53465,3.84416,https://movies.yahoo.co.jp/movie/334089
79,レ・ミゼラブル,2012年,158分,イギリス,ミュージカル,ドラマ,ジャンル記載なし,ジャンル記載なし,4.15,6727,51.1,25.9,13.8,5.5,3.8,4.2178,4.48791,4.10337,4.28456,4.48594,https://movies.yahoo.co.jp/movie/342984
80,SING／シング,2016年,108分,アメリカ,ドラマ,コメディ,ミュージカル,アニメ,3.94,6698,40.0,32.5,16.3,4.2,7.0,3.6683,4.19312,3.94417,4.17512,4.61211,https://movies.yahoo.co.jp/movie/355820
81,パイレーツ・オブ・カリビアン／最後の海賊,2017年,129分,アメリカ,アドベンチャー,アクション,コメディ,ジャンル記載なし,3.99,6636,38.4,35.2,17.8,4.7,4.0,3.68363,4.23002,3.90206,4.32965,4.17403,https://movies.yahoo.co.jp/movie/359876
82,アベンジャーズ／インフィニティ・ウォー,2018年,150分,アメリカ,アクション,アドベンチャー,ジャンル記載なし,ジャンル記載なし,4.22,6615,51.4,29.5,12.3,3.3,3.5,3.90732,4.48457,4.18306,4.55211,4.04822,https://movies.yahoo.co.jp/movie/361806
83,海賊とよばれた男,2016年,145分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.93,6611,45.3,24.6,16.1,6.1,7.9,3.76988,4.19515,3.53209,4.02567,3.53428,https://movies.yahoo.co.jp/movie/356308
84,帝一の國,2017年,118分,日本,コメディ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.06,6520,47.1,29.7,12.3,3.9,7.0,4.23293,4.65727,4.32195,4.09198,3.90044,https://movies.yahoo.co.jp/movie/358947
85,四月は君の嘘,2016年,122分,日本,青春,ロマンス,ジャンル記載なし,ジャンル記載なし,2.64,6509,23.7,12.0,12.8,8.1,43.4,2.90373,2.96546,2.6075,3.01585,3.2987,https://movies.yahoo.co.jp/movie/355934
86,ジョジョの奇妙な冒険　ダイヤモンドは砕けない　第一章,2017年,118分,日本,アクション,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.73,6452,22.3,15.3,14.5,9.1,38.8,3.2678,3.283,3.20324,3.57251,3.1041,https://movies.yahoo.co.jp/movie/358375
87,デッドプール,2016年,108分,アメリカ,アクション,コメディ,ジャンル記載なし,ジャンル記載なし,3.77,6451,29.2,35.1,23.7,7.2,4.8,3.32754,3.87684,3.80748,4.01742,3.84295,https://movies.yahoo.co.jp/movie/355574
88,時をかける少女,2006年,100分,日本,青春,ファンタジー,ロマンス,アニメ,4.14,6384,55.0,22.9,10.7,3.4,8.0,4.28335,4.07995,4.29482,4.34437,4.28595,https://movies.yahoo.co.jp/movie/324826
89,デスノート Light up the NEW world,2016年,135分,日本,サスペンス,ホラー,ジャンル記載なし,ジャンル記載なし,2.67,6380,20.3,11.3,17.7,16.5,34.1,2.08323,2.88848,2.36564,2.91442,2.89596,https://movies.yahoo.co.jp/movie/355619
90,バクマン。,2015年,119分,日本,青春,ドラマ,ジャンル記載なし,ジャンル記載なし,3.75,6372,33.0,33.5,18.3,5.7,9.5,3.46682,4.02328,4.05477,4.23228,3.9849,https://movies.yahoo.co.jp/movie/349125
91,ゴジラ　キング・オブ・モンスターズ,2019年,132分,アメリカ,アクション,アドベンチャー,SF,ジャンル記載なし,3.97,6286,42.5,28.2,17.7,6.9,4.7,2.79973,3.31625,3.64372,4.334,4.17004,https://movies.yahoo.co.jp/movie/365978
92,千と千尋の神隠し,2001年,125分,日本,ファンタジー,アドベンチャー,アニメ,ジャンル記載なし,4.19,6273,52.0,27.5,12.7,3.6,4.2,3.97022,3.87762,4.09982,4.36888,4.23776,https://movies.yahoo.co.jp/movie/163027
93,今夜、ロマンス劇場で,2018年,109分,日本,ロマンス,ファンタジー,コメディ,ジャンル記載なし,4.23,6244,55.9,23.4,12.5,4.2,4.0,4.05243,4.39489,3.95853,4.22533,3.87439,https://movies.yahoo.co.jp/movie/361565
94,名探偵コナン　純黒の悪夢（ナイトメア）,2016年,112分,日本,サスペンス,アドベンチャー,アニメ,ジャンル記載なし,4.15,6194,55.4,22.8,10.3,4.2,7.3,3.50123,3.95797,3.65965,4.09517,3.89108,https://movies.yahoo.co.jp/movie/354676
95,007 スペクター,2015年,148分,"イギリス,アメリカ",アクション,サスペンス,ジャンル記載なし,ジャンル記載なし,3.79,6175,29.7,36.6,22.2,6.5,5.1,3.19835,3.83176,3.55359,4.04358,3.7762,https://movies.yahoo.co.jp/movie/352378
96,シビル・ウォー／キャプテン・アメリカ,2016年,148分,アメリカ,アクション,アドベンチャー,SF,ジャンル記載なし,4.1,6137,45.7,31.0,14.8,5.0,3.5,3.62465,4.33378,4.02054,4.40245,3.67078,https://movies.yahoo.co.jp/movie/355057
97,湯を沸かすほどの熱い愛,2016年,125分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.95,6109,47.4,26.0,11.4,4.7,10.4,3.27646,4.24842,3.29411,3.31955,3.05448,https://movies.yahoo.co.jp/movie/356327
98,ワンス・アポン・ア・タイム・イン・ハリウッド,2019年,161分,アメリカ,ドラマ,コメディ,ジャンル記載なし,ジャンル記載なし,3.93,6089,34.8,39.0,15.4,6.2,4.7,3.34445,4.38974,3.76435,3.89247,3.85406,https://movies.yahoo.co.jp/movie/367638
99,名探偵コナン　ゼロの執行人（しっこうにん）,2018年,109分,日本,サスペンス,アドベンチャー,アニメ,ジャンル記載なし,4.07,6064,52.0,23.6,11.9,4.8,7.8,3.45639,3.62371,3.67248,3.94169,3.69533,https://movies.yahoo.co.jp/movie/362613
100,アナと雪の女王,2013年,102分,アメリカ,ファンタジー,アドベンチャー,ミュージカル,アニメ,3.66,6058,29.9,29.8,23.8,9.1,7.3,3.2078,4.05354,3.86481,4.51104,4.54587,https://movies.yahoo.co.jp/movie/346540
